TYPE,카테고리,Prodcode,Partnumber ↑ ↓,★,"재고
수량","출고
예정",HOLD,"가용
재고","적정
재고
수량",납기,"현재고
가용일
↑ ↓",현재상태,입고중수량,상품상태
코딩,아두이노,P007320613,Arduino Uno Rev3 (해외),★,116,0,0,116,100,,0.3,정상,0,정상
코딩,마이크로비트,P008341200,"Micro:bit Genius Kit
2024-12-30 오후 6:42:14 재고정상 Doti",★,2031,3,0,2028,650,5주,9.4,정상,0,정상
코딩,마이크로비트,P008436833,"ELECFREAKS SENSOR:BIT FOR MICRO:BIT (SENSORBIT)
2024-12-24 오후 2:30:22 재고정상 Doti",★,303,0,0,303,150,,0.8,정상,0,정상
BOOK,마이크로비트,P008560982,(제이펍)코딩교육을위한마빗,☆,351,0,0,351,100,3~5일,0.8,정상,0,정상
CF,배터리,P008810247,"DTP 502535
2024-12-11 오후 4:15:21 재고정상 Doti",☆,76,0,0,76,15,,0.1,정상,0,정상
구성품,마이크로비트,P009435187,마빗 확장 똑딱이 연결핀,☆,97,0,0,97,0,,0.2,정상,0,정상
BOOK,마이크로비트,P009589413,(제이펍)지니어스키트로배우는마빗,☆,259,0,0,259,100,3~5일,1.7,정상,0,정상
코딩,아두이노,P010687953,"usb 케이블(아두이노 우노용 개발보드)
2024-12-20 오후 6:37:53 재고정상 Doti",☆,38,0,0,38,20,,0.1,정상,0,정상
기타,마이크로비트,P011443519,허스키렌즈 실리콘 케이스,☆,328,0,100,328,50,,1.7,정상,0,정상
코딩,마이크로비트,P011443519,"SILICONE SLEEVE FOR HUSKYLENS
2024-12-26 오후 7:40:12 재고정상 Jin",☆,328,0,100,328,10,,1.7,정상,0,정상
CF,배터리,P011956533,"DTP 103450
2024-12-11 오후 4:21:16 재고정상 Doti",☆,93,1,0,92,30,,0.2,정상,0,정상
코딩,아두이노,P011970963,아두이노 올인원 키트 V1,★,229,0,0,229,300,5주,2.7,적정재고미달,1000,정상
CF,배터리,P012000208,"TW 501646
2024-12-10 오후 6:31:12 재고정상 Doti",☆,75,0,0,75,20,,0.2,정상,0,정상
CF,배터리,P012000216,"TW 601525
2024-12-10 오후 6:43:17 재고정상 Doti",☆,61,0,0,61,20,,0.1,정상,0,정상
CF,배터리,P012000287,"TW 802030
2024-12-10 오후 6:42:54 재고정상 Doti",☆,94,0,0,94,15,,0.4,정상,0,정상
CF,배터리,P012000307,"TW 103040
2024-12-10 오후 6:37:23 재고정상 Doti",☆,185,0,0,185,10,,0.3,정상,0,정상
CF,배터리,P012000439,"DTP 656294
2024-12-12 오후 6:28:15 재고정상 Doti",☆,21,0,0,21,30,,0,적정재고미달,0,정상
CF,배터리,P012000457,"DTP 634169
2024-12-12 오후 6:30:11 재고정상 Doti",☆,22,0,0,22,15,,0,정상,0,정상
코딩,마이크로비트,P012113989,스마트 AI 렌즈,★,140,0,0,140,100,2주,0.6,정상,0,정상
BOOK,마이크로비트,P012114176,(북티)마빗마퀸으로배우는AI세상,☆,298,0,0,298,70,3~5일,0.7,정상,0,정상
BOOK,마이크로비트,P012114413,(길벗)모두의마빗,☆,367,0,0,367,100,3~5일,1,정상,0,정상
기타,마이크로비트,P012244823,마이크로비트 V2.21 실리콘 케이스,☆,186,0,0,186,100,,0.3,정상,0,정상
BOOK,jetson,P012257404,(북티)파이썬과함께하는ai젯봇,☆,515,0,0,515,30,3~5일,0,정상,0,정상
코딩,ESP32,P012409434,ESP32 Wi-Fi & 블루투스 개발 보드,☆,0,0,0,0,0,추가발주x,0,재고부족,0,품절
코딩,라즈베리파이,P012834536,라즈베리파이 피코 스타터 키트,☆,103,26,0,77,50,,0.2,정상,0,정상
코딩,마이크로비트,P013035234,코알딩 3D펜 필라멘트 15가지 색상,☆,8,0,0,8,0,단종예정,0,정상,0,정상
코딩,라즈베리파이,P013149476,라즈베리파이 IoT 키트,☆,178,1,0,177,30,,0.4,정상,0,정상
코딩,마이크로비트,P013152261,마이크로비트 V2.21 스타터 키트,★,521,31,0,490,200,2주,0.8,정상,0,정상
코딩,마이크로비트,P013465100,ELECFREAKS 마이크로비트 조이스틱비트 V2,★,371,15,0,356,100,,1.5,정상,0,정상
CF,배터리,P013744886,"TW 105050
2024-12-10 오후 6:46:00 재고정상 Doti",☆,84,0,0,84,25,,0.1,정상,0,정상
코딩,마이크로비트,P013889593,BBC micro:bit USB 마이크로비트 정품 Type-A (초록),☆,196,0,0,196,50,1주,0.4,정상,0,정상
코딩,마이크로비트,P013988029,스마트팜 MDF 키트,☆,77,0,0,77,50,,0.1,정상,0,정상
BOOK,마이크로비트,P014201084,(북티)홈IoT키트,☆,135,0,0,135,20,3~5일,0.1,정상,0,정상
코딩,마이크로비트,P014203534,마퀸 플러스 V2,☆,364,0,0,364,300,,0.9,정상,0,정상
코딩,아두이노,P014753490,"아두이노 블록코딩 키트
2024-12-30 오후 6:22:28 재고정상 Doti",☆,45,0,0,45,50,,0.1,적정재고미달,0,정상
BOOK,마이크로비트,P014773743,(북티)코드위즈로배우는창의코딩세상,☆,160,0,0,160,30,3~5일,0,정상,0,정상
코딩,마이크로비트,P014816867,18650-2000mAh-1PJ1M (마퀸전용),☆,450,45,0,405,200,,2.8,정상,0,정상
코딩,아두이노,P014844263,아두이노로 만드는 20가지 프로젝트 키트,★,190,0,0,190,100,,0.3,정상,0,정상
BOOK,아두이노,P015145770,(북티)ESP32로만드는IoT월드with아두이노IDE2,☆,362,0,0,362,30,3~5일,0.7,정상,0,정상
코딩,ESP32,P015257882,ESP32로만드는IoT월드&아두이노IDE2 키트,★,73,0,0,73,0,4주,0.3,정상,0,정상
BOOK,마이크로비트,P015276619,(북티)파이썬과마빗으로배우는실전코딩프로젝트,☆,146,0,0,146,30,3~5일,0.1,정상,0,정상
